year,title,genre,gross
1987,A Nightmare on Elm Street 3: Dream Warriors,"Action, Fantasy, Horror",44.79
1987,The Last Emperor,"Biography, Drama, History",43.98
1987,Wall Street,"Crime, Drama",43.85
1987,Mannequin,"Comedy, Fantasy, Romance",42.72
1987,Roxanne,"Comedy, Romance",40.05
1987,Blind Date,"Comedy, Romance",39.32
1987,The Running Man,"Action, Sci-Fi, Thriller",38.12
1987,Spaceballs,"Adventure, Comedy, Sci-Fi",38.12
1987,Summer School,"Comedy, Romance",35.66
1987,No Way Out,"Action, Crime, Drama",35.51
1987,Like Father Like Son,"Comedy, Fantasy",34.38
1987,Adventures in Babysitting,"Action, Adventure, Comedy",34.37
1987,*batteries not included,"Comedy, Family, Fantasy",32.95
1987,The Lost Boys,"Comedy, Horror",32.22
1987,Can't Buy Me Love,"Comedy, Drama, Romance",31.62
1987,Nuts,"Drama, Thriller",30.95
1987,The Princess Bride,"Adventure, Family, Fantasy",30.86
1987,Revenge of the Nerds II: Nerds in Paradise,Comedy,30.06
1987,Harry and the Hendersons,"Comedy, Family, Fantasy",29.76
1987,Police Academy 4: Citizens on Patrol,"Comedy, Crime",28.06
1987,Overboard,"Comedy, Romance",26.71
1987,Baby Boom,"Comedy, Drama, Romance",26.71
1987,Innerspace,"Action, Adventure, Comedy",25.89
1987,Tin Men,"Comedy, Drama",25.41
1987,Black Widow,"Crime, Drama, Thriller",25.21
1987,Ernest Goes to Camp,"Comedy, Family",23.51
1987,Raising Arizona,"Comedy, Crime",22.85
1987,Benji the Hunted,"Adventure, Family",22.26
1987,Empire of the Sun,"Drama, History, War",22.24
1988,Rain Man,Drama,172.83
1988,Who Framed Roger Rabbit,"Animation, Adventure,Comedy",156.45
1988,Coming to America,"Comedy, Romance",128.15
1988,Big,"Comedy,Drama, Family",114.97
1988,Twins,"Comedy, Crime",111.94
1988,Crocodile Dundee II,"Action, Adventure, Comedy",109.31
1988,Die Hard,"Action,Thriller",83.01
1988,Cocktail,"Comedy, Drama, Romance",78.22
1988,The Naked Gun: From the Files of Police Squad!,"Comedy, Crime",78.04
1988,Oliver & Company,"Animation, Advenure, Comedy ",74.15
1988,Beetlejuice,"Comedy, Fantasy",73.71
1988,Working Girl,"Comedy, Drama, Romance",64
1988,A Fish Called Wanda,"Comedy, Crime",63.49
1988,Scrooged,"Comedy, Drama, Fantasy",60.33
1988,Willow,"Action, Advenure, Drama",57.27
1988,Beaches,"Comedy, Drama, Music",57.04
1988,Rambo III,"Action, Advenure,Thriller",53.72
1988,Bull Durham,"Comedy, Romance, Sport",50.89
1988,A Nightmare on Elm Street 4: The Dream Master,"Horror, Thriller",49.37
1988,The Land Before Time,"Animation, Adventure, Drama",48.09
1988,Colors,"Action, Crime, Drama",46.62
1988,Young Guns,"Action, Crime, Drama",45.66
1988,Biloxi Blues,"Comedy, Drama",43.18
1988,Dirty Rotten Scoundrels,"Comedy, Crime",42.04
1988,The Great Outdoors,Comedy,41.46
1988,Tequila Sunrise," Crime, Drama, Romance",41.29
1988,Big Business,Comedy,40.15
1988,Midnight Run,"Action, Comedy, Crime",38.41
1988,The Dead Pool,"Action, Crime, Mystery",37.9
1988,Red Heat,"Action, Comedy, Crime",34.99
1988,Dangerous Liaisons,"Drama, Romance",34.7
1988,Mississippi Burning,"Crime, Drama, History",34.6
1988,Child's Play,"Horror, Thriller",33.24
1988,The Accidental Tourist," Drama, Romance",32.63
1988,The Accused,Drama,32.07
1988,The Bear,"Adventure, Family, Drama",31.75
1988,Shoot to Kill,"Action, Adventure, Crime",29.3
1988,Ernest Saves Christmas,"Comedy, Family, Fantasy",28.2
1988,Betrayed,"Drama, Thriller",25.82
1988,Funny Farm,"Comedy, Drama",25.54
1988,Alien Nation," Action, Sci-Fi",25.22
1988,Gorillas in the Mist,"Biography, Drama",24.72
1988,License to Drive,Comedy,22.43
1988,Short Circuit 2,"Comedy, Drama, Family",21.63
1988,Married to the Mob,"Comedy, Crime, Romance",21.49
1988,Punchline,"Comedy, Drama, Romance",21.03
1988,Action Jackson,"Action, Comedy, Crime",20.26
1988,The Presidio,"Action, Crime, Mystery",20.04
1988,Tucker: The Man and His Dream,"Biography, Drama",19.65
1988,The Serpent and the Rainbow,"Fantasy, Horror",19.6
1989,Batman,"Action, Adventure",251.19
1989,Indiana Jones and the Last Crusade,"Action, Adventure, Fantasy",197.17
1989,Lethal Weapon 2,"Action, Crime, Thriller",147.25
1989,Look Who's Talking,Comedy,140.09
1989,"Honey, I Shrunk the Kids","Adventure, Comedy, Family",130.72
1989,Back to the Future Part II,"Adventure, Comedy, Sci-Fi",118.5
1989,Ghostbusters II,"Action, Comedy, Fantasy",112.49
1989,The Little Mermaid,"Animation, Family, Fantasy",111.54
1989,Driving Miss Daisy,Drama,106.59
1989,Parenthood,"Comedy, Drama",100.05
1989,Dead Poets Society,"Comedy, Drama",95.86
1989,When Harry Met Sally...,"Comedy, Drama, Romance",92.82
1989,The War of the Roses,Comedy,86.89
1989,Steel Magnolias,"Comedy, Drama, Romance",83.76
1989,National Lampoon's Christmas Vacation,Comedy,71.32
1989,Turner & Hooch,"Comedy, Crime, Drama",71.08
1989,Born on the Fourth of July,"Biography, Drama, War",70
1989,Uncle Buck,Comedy,66.76
1989,Field of Dreams,"Drama, Family, Fantasy",64.43
1989,Tango & Cash,"Action, Comedy, Crime",63.41
1989,Harlem Nights,"Comedy, Crime, Drama",60.86
1989,Sea of Love,"Crime, Drama, Mystery",58.57
1989,Pet Sematary,"Horror, Thriller",57.47
1989,The Abyss,"Adventure, Drama, Sci-Fi",54.46
1989,Star Trek V: The Final Frontier,"Action, Adventure, Fantasy",52.21
1989,Major League,"Comedy, Sport",49.8
1989,"See No Evil, Hear No Evil","Comedy, Crime",46.91
1989,Black Rain,"Action, Crime, Thriller",46.21
1989,Always,"Fantasy, Romance",43.86
1989,K-9,"Action, Comedy, Crime",43.25
1989,Three Fugitives,"Action, Comedy",40.59
1989,Bill & Ted's Excellent Adventure,"Adventure, Comedy, Music",40.49
1989,The Karate Kid Part III,"Action, Drama, Family",38.96
1989,The 'Burbs,"Comedy, Mystery, Thriller",36.6
1989,Fletch Lives,"Comedy, Mystery, Crime",35.15
1989,Licence to Kill,"Action, Adventure, Thriller",34.67
1989,Lean on Me,Drama,31.91
1989,Weekend at Bernie's,"Action, Comedy, Crime",30.22
1989,Road House,"Action, Thriller",30.05
1989,The Dream Team,"Comedy, Crime, Thriller",28.89
1989,Do the Right Thing,"Comedy, Drama",27.55
1989,All Dogs Go to Heaven,"Animation, Comedy, Drama",27.1
1989,Glory,"Biography, Drama, History",26.83
1989,"Sex, Lies, and Videotape",Drama,24.74
1989,A Nightmare on Elm Street 5: The Dream Child,"Fantasy, Horror, Romance",22.17
1989,Lock Up," Crime, Drama, Thriller",22.1
1989,Cousins,"Comedy, Romance",22.03
1989,Say Anything...,"Comedy, Drama, Romance",20.78
1989,An Innocent Man,"Action, Crime, Drama",20.05
1989,The Fly II,"Horror, Sci-Fi",20.02
1990,Home Alone,"Comedy, Family",285.76
1990,Ghost,"Drama, Fantasy, Romance",217.63
1990,Dances with Wolves,"Adventure, Drama, Western",184.21
1990,Pretty Woman,"Comedy, Romance",178.41
1990,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",135.27
1990,The Hunt for Red October,"Action, Adventure, THriller",122.01
1990,Total Recall,"Action, Sci-Fi, Thriller",119.39
1990,Die Hard 2,"Action, Thriller",117.54
1990,Dick Tracy,"Action, Comedy, Crime",103.74
1990,Kindergarten Cop,Comedy,91.46
1990,Back to the Future Part III,"Adventure, Comedy, Sci-Fi",87.73
1990,Presumed Innocent,"Mystery, Thriller",86.3
1990,Days of Thunder,"Action, Drama, Sport",82.67
1990,Another 48 Hrs.,"Action, Drama, Sport",80.82
1990,3 Men and a Little Lady,"Comedy, Drama, Family",71.61
1990,Bird on a Wire,"Action,Comedy",70.98
1990,The Godfather: Part III,"Crime, Drama",66.67
1990,Flatliners,"Drama, Horror, Sci-Fi",61.49
1990,Misery,"Crime, Drama, Thriller",61.28
1990,Edward Scissorhands,"Drama, Fantasy, Romance",56.36
1990,Problem Child,"Comedy,Family",53.47
1990,Arachnophobia,"Comedy, Fantasy, Horror",53.21
1990,Awakenings,"Biography, Drama",52.1
1990,Look Who's Talking Too,"Comedy, Family, Romance",47.49
1990,Hard to Kill,"Action, Crime, Drama",47.41
1990,Goodfellas,"Biography, Crime, Drama",46.84
1990,Marked for Death,"Action, Adventure, Crime",46.04
1990,RoboCop 2,"Action, Crime, Sci-Fi",45.68
1990,Young Guns II,"Action, Western",44.14
1990,Gremlins 2: The New Batch,"Comedy, Fantasy, Horror",41.48
1990,Rocky V,"Drama, Sport",40.95
1990,Joe Versus the Volcano,"Comedy, Romance",39.4
1990,Postcards from the Edge,"Comedy, Drama",37.96
1990,Mermaids,"Comedy, Drama, Romance",35.42
1990,Darkman,"Action, Crime, Fantasy",33.88
1990,Air America,"Action, Comedy",31.05
1990,Predator 2,"Action, Horror, Sci-Fi",30.67
1990,Green Card,"Comedy, Drama, Romance",29.89
1990,Pacific Heights,Thriller,29.38
1990,Child's Play 2,"Horror, Thriller",28.5
1990,The Rescuers Down Under,"Animation, Adventure Crime",27.93
1990,Internal Affairs,"Crime, Drama, Thriller",27.73
1990,Cadillac Man,"Comedy, Crime",27.63
1990,Memphis Belle,"Action, Drama, War",27.44
1990,House Party,"Comedy, Music, Romance",26.39
1990,Jacob's Ladder,"Drama, Horror, Mystery",26.12
1990,The Exorcist III,"Drama, Horror, Mystery",26.1
1990,Navy Seals,"Action, Adventure, THriller",25.07
1990,Ernest Goes to Jail,"Comedy, Crime, Family",25.03
1990,Ghost Dad,"Comedy, Family, Fantasy",24.71
1991,Beauty and the Beast,"Animation, Family, Fantasy",218.97
1991,Terminator 2,"Action, Sci-Fi, Thriller",204.84
1991,Robin Hood: Prince of Thieves,"Action, Adventure, Drama",165.5
1991,The Silence of the Lambs,"Crime, Drama, Thriller",130.74
1991,City Slickers,Comedy,124.03
1991,Hook,"Adventure, Comedy, family",119.65
1991,The Addams Family,"Comedy, Fantasy",113.5
1991,Sleeping with the Enemy,"Drama, Thriller",101.6
1991,Father of the Bride,"Comedy, Family, Romance",89.33
1991,The Naked Gun 2Â_: The Smell of Fear,"Comedy, Crime",86.93
1991,Fried Green Tomatoes,Drama,82.42
1991,Cape Fear,"Crime, Thriller",79.1
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"Action, Adventure, Comedy",78.66
1991,Backdraft,"Action, Crime, Drama",77.87
1991,Star Trek VI: The Undiscovered Country,"Action, Adventure, Sci-Fi",74.89
1991,The Prince of Tides,"Drama, Romance",74.79
1991,JFK,"Drama, History, Thriller",70.41
1991,Hot Shots!,"Action, Comedy",69.47
1991,What About Bob?,Comedy,63.71
1991,My Girl,"Comedy, Drama, Family",59.85
1991,The Last Boy Scout,"Action, Comedy, Crime",59.51
1991,Boyz n the Hood,"Crime, Drama",57.5
1991,Doc Hollywood,"Comedy, Drama, Romance",54.83
1991,Bugsy,"Biography, Crime, Drama",49.11
1991,New Jack City,"Action, Cime, Drama",47.62
1991,The Rocketeer,"Action, Adventure, Comedy",46.7
1991,Thelma & Louise,"Adventure, Crime, Drama",45.36
1991,Drop Dead Fred,"Comedy, Drama, Fantasy",43.88
1991,Point Break,"Action, Crime, Thriller",43.22
1991,Regarding Henry,"Drama,Romance",43
1991,The Fisher King,"Comedy, Drama, Fantasy",41.9
1991,Out for Justice,"Action, Crime, Drama",39.67
1991,The Doctor,Drama,38.12
1991,Bill & Ted's Bogus Journey,"Adventure, Comedy, Fantasy",38.04
1991,Dead Again,"Crime, Drama, Mystery",38.02
1991,Soapdish,"Comedy, Romance",36.49
1991,The Doors,"Biogrpahy, Drama, Music",35.18
1991,Freddy's Dead: The Final Nightmare,"Comedy, Fantasy, Horror",34.87
1991,White Fang,"Advenure, Drama",34.79
1991,King Ralph,"Comedy, Romance",34
1991,Curly Sue,"Comedy, Drama, Family",33.69
1991,Dying Young,"Drama, Romance",33.67
1991,Grand Canyon,"Crime, Drama",33.24
1991,Jungle Fever,"Drama, Romance",32.48
1991,Double Impact,"Action, Crime",30.1
1991,L.A. Story,"Comedy, Drama, Fantasy",28.86
1991,Deceived,Thriller,28.74
1991,Necessary Roughness,"Comedy, Sport",26.26
1991,The Hard Way,"Action, Comedy, Crime",25.9
1991,Other People's Money,"Comedy, Drama, Romance",25.68
1992,Aladdin,"Animation, Adventure, Comedy",217.35
1992,Home Alone 2: Lost in New York,"Adventure, Comedy, Family",173.59
1992,Batman Returns,"Action, Adventure",162.83
1992,Lethal Weapon 3,"Action, Crime, Thriller",144.73
1992,A Few Good Men,"Drama, Thriller",141.34
1992,Sister Act,"Comedy, Crime, Family",139.61
1992,The Bodyguard,"Action, Drama, Music",121.95
1992,Wayne's World,"Comedy, Music",121.7
1992,Basic Instinct,"Drama, Mystery, Thriller",117.73
1992,A League of Their Own,"Comedy, Drama, Family",107.53
1992,Unforgiven,"Drama, Western",101.16
1992,The Hand That Rocks the Cradle,"Drama, Thriller",88.04
1992,Under Siege,"Action, Thriller",83.36
1992,Patriot Games,"Action, Thriller",83.29
1992,White Men Can't Jump,"Comedy, Drama, Sport",76.25
1992,The Last of the Mohicans,"Action, Adventure, Drama",75.51
1992,Boomerang,"Comedy, Drama, Romance",70.1
1992,Scent of a Woman,Drama,63.9
1992,The Crying Game,"Crime, Drama, Romance",62.55
1992,Far and Away,"Adventure, Drama, Romance ",58.88
1992,Honey I Blew Up the Kid,"Adventure, Comedy, Family",58.66
1992,HouseSitter,"Comedy, Romance",58.5
1992,Death Becomes Her,"Comedy, Fantasy, horror",58.42
1992,Unlawful Entry,"Crime, Drama, Thriller",57.14
1992,Beethoven,"Comedy, Drama, Family",57.11
1992,Forever Young,"Drama, Romance, Sci-Fi",55.96
1992,AlienÂ_,"Action, Horror, Sci-Fi",55.47
1992,My Cousin Vinny,"Comedy, Crime",52.93
1992,Sneakers,"Comedy, Crime, Drama",51.43
1992,The Mighty Ducks,"Comedy, Drama, Family",50.75
1992,Malcolm X,"Biogrpahy, Drama, History",48.17
1992,Single White Female,"Drama, Thriller",47.92
1992,The Distinguished Gentleman,"Comedy, Crime",46.67
1992,Medicine Man,"Adventure, Drama, Romance ",45.5
1992,Passenger 57,"Action, Crime, Thriller",44.07
1992,A River Runs Through It,Drama,43.44
1992,Encino Man,Comedy,40.69
1992,Mo' Money,"Action, Comedy, Crime",40.23
1992,Universal Soldier,"Action, Sci-Fi",36.3
1992,Honeymoon In Vegas,"Comedy, Romance, Thriller",35.21
1992,The Lawnmower Man,"Horror, Sci-Fi",32.1
1992,Sleepwalkers,Horror,30.52
1992,3 Ninjas,"Action, Comedy, Family",29
1992,Final Analysis,"Drama, Thriller",28.59
1992,Stop! Or My Mom Will Shoot,"Action, Comedy, Family",28.41
1992,The Muppet Christmas Carol,"Comedy, Drama, family",27.28
1992,Howards End,"Drama, Romance",25.97
1992,Candyman,"Horror, Thriller",25.79
1992,The Cutting Edge,"Drama, Romance, Sport",25.11
1993,Jurassic Park,"Adventure, Sci-Fi, Thriller ",402.45
1993,Mrs. Doubtfire,"Comedy, Drama, Family",219.2
1993,The Fugitive,"Action, Crime, Drama",183.88
1993,The Firm,"Drama, Mystery, Thriller",158.35
1993,Sleepless in Seattle,"Comedy,Drama, Romance",126.53
1993,Indecent Proposal,"Drama, Romance",106.61
1993,In the Line of Fire,"Action, Crime, Drama",102.31
1993,The Pelican Brief,"Crime, Drama, Mystery",100.77
1993,Schindler's List,"Biogrpahy, Drama, History",96.07
1993,Cliffhanger,"Action, Adventure, Thriller",84.05
1993,Free Willy,"Adventure, Drama, Family",77.7
1993,Philadelphia,Drama,77.32
1993,The Nightmare Before Christmas,"Animation, Family, Fantasy",75.08
1993,Groundhog Day,"Comedy, Fantasy, Romance",70.91
1993,Grumpy Old Men,"Comedy, Drama, Romance",70.17
1993,Cool Runnings,"Adventure, Comedy, Family",68.86
1993,Dave,"Comedy, Romance",63.27
1993,Rising Sun,"Action, Crime, Drama",63.1
1993,Demolition Man,"Action, Crime, Sci-Fi",58.06
1993,Sister Act 2: Back in the Habit,"Comedy, Family, Music",57.32
1993,Tombstone,"Action, Biography, Drama",56.51
1993,The Three Musketeers,"Action, Adventure, Comedy",53.9
1993,Rookie of the Year,"Comedy, Family, Fantasy",53.58
1993,Beethoven's 2nd,"Comedy, Family, Romance",53.35
1993,Dennis the Menace,"Comedy, Family",51.27
1993,Sommersby,"Drama, Mystery, Romance",50.08
1993,Last Action Hero,"Action, Adventure, Comedy",50.02
1993,Addams Family Values,"Comedy, Fantasy",48.92
1993,Wayne's World 2,"Comedy, Music",48.2
1993,Malice,"Crime, Mystery, Thriller",46.04
1993,Made in America,Comedy,44.94
1993,The Good Son,"Drama, Horror, Thriller",44.59
1993,The Beverly Hillbillies,"Comedy, Family",44.03
1993,Teenage Mutant Ninja Turtles III,"Action, Adventure, Comedy",42.66
1993,Homeward Bound: The Incredible Journey,"Adventure, Comedy, Drama",41.83
1993,Falling Down,"Crime, Drama, Thriller",40.9
1993,The Piano,"Drama, Music, Romance",40.16
1993,Hocus Pocus,"Comedy, Family, Fantasy",39.51
1993,What's Love Got to Do with It,"Biography, Drama, Music",39.1
1993,Hot Shots! Part Deux,"Action, Comedy",38.91
1993,Carlito's Way,"Crime, Drama, Thriller",36.95
1993,Alive,"Advenure, Biography, Drama",36.73
1993,Son in Law,"Comedy, Drama, Romance ",36.45
1993,Sliver,"Drama, Thriller",36.3
1993,Robin Hood: Men in Tights,"Advenure, Comedy, Musical",35.74
1993,Dragon: The Bruce Lee Story,"Action, Biography, Drama",35.11
1993,The Joy Luck Club,Drama,32.86
1993,Hard Target,"Action, Thriller",32.59
1993,The Sandlot,"Comedy, Drama, Family",32.42
1993,The Age of Innocence,"Drama, Romance",32.2
1994,Forrest Gump,"Drama, Romance",330.25
1994,The Lion King,"Animation, Adventure Drama",312.9
1994,True Lies,"Action, Comedy, Thriller",146.28
1994,The Santa Clause,"Comedy, Drama, Fantasy",144.83
1994,The Flintstones,"Comedy, Family, Fantasy",130.51
1994,Dumb and Dumber,Comedy,127.18
1994,Clear and Present Danger,"Action, Crime, Drama",122.19
1994,Speed,"Action, Adventure, Crime",121.25
1994,The Mask,"Comedy, Fantasy",119.94
1994,Pulp Fiction,"Crime, Drama",107.93
1994,Interview with the Vampire: The Vampire Chronicles,"Drama, Horror",105.26
1994,Maverick,"Action, Adventure, Comedy",101.63
1994,The Client,"Crime, Drama, Mystery",92.12
1994,Disclosure,"Drama, thriller",83.02
1994,Star Trek: Generations,"Action, Adventure, Mystery",75.67
1994,Ace Ventura: Pet Detective,Comedy,72.22
1994,Stargate,"Action, Adventure, Sci-Fi",71.57
1994,Legends of the Fall,"Drama, Romance, War",66.64
1994,Wolf,"Drama, Horror, Romance",65.01
1994,The Specialist,"Action, Crime, Drama",57.36
1994,Four Weddings and a Funeral,"Comedy, Drama, Romance",52.7
1994,The Little Rascals,"Comedy, Family, Romance",51.76
1994,Naked Gun 33 1/3: The Final Insult,"Comedy, Crime",51.13
1994,The Crow,"Action, Drama, Fantasy",50.69
1994,Natural Born Killers,"Crime, Drama",50.28
1994,Angels in the Outfield,"Comedy, Family, Fantasy",50.24
1994,Little Women,"Drama, Family, Romance",50.08
1994,When a Man Loves a Woman,"Drama, Romance",50.02
1994,The River Wild,"Action, Adventure, Crime",46.82
1994,D2: The Mighty Ducks,"Comedy, Drama, Family",45.61
1994,Timecop,"Action, Crime, Sci-Fi",44.85
1994,The Jungle Book,"Adventure, Family, Romance",44.34
1994,City Slickers II: The Legend of Curly's Gold,"Comedy, Western",43.62
1994,Beverly Hills Cop III,"Action, Comedy, Crime",42.61
1994,Nobody's Fool,"Comedy, Drama",39.49
1994,The Paper,"Comedy, Drama",38.82
1994,On Deadly Ground,"Action, Adventure, Thriller",38.59
1994,Richie Rich,"Comedy, Family ",38.09
1994,It Could Happen to You,"Comedy, Drama, Romance",37.8
1994,Junior,"Comedy, romance, Sci-Fi",36.76
1994,Nell,Drama,33.68
1994,Street Fighter,"Action, Adventure, Comedy",33.42
1994,The Shadow,"Action, Advenrure, Crime",32.06
1994,I Love Trouble,"Action, Comedy, Romance",30.81
1994,Major League II,"Comedy, Sport",30.63
1994,Blank Check,"Comedy, Crime, Family",30.58
1994,Blown Away,"Action, Crime, Drama",30.16
1994,A Low Down Dirty Shame,"Action, Comedy, Crime",29.39
1994,In the Army Now,"Comedy, War",28.86
1994,Drop Zone,"Action, Adventure, Thriller",28.72
1995,Toy Story,"Animation, Adventure, Comedy",191.8
1995,Batman Forever,"Action, Adventure, Fantasy",184.03
1995,Apollo 13,"Adventure, Drama, History",173.84
1995,Pocahontas,"Animation, Adventure, Drama",141.6
1995,Ace Ventura: When Nature Calls,"Adventure, Comedy, Crime",108.39
1995,GoldenEye,"Action, Adventure, Thriller",106.6
1995,Jumanji,"Action, Adventure, Family",100.48
1995,Casper,"Comedy, Family, Fantasy",100.33
1995,Se7en,"Crime, Drama, Mystery",100.13
1995,Die Hard with a Vengeance,"Action, Adventure, Thriller",100.01
1995,Crimson Tide,"Action, Drama, Thriller",91.4
1995,Waterworld,"Action, Adventure, Sci-Fi",88.25
1995,Dangerous Minds,"Biography, Drama",84.92
1995,Mr. Holland's Opus,"Drama, Music",82.57
1995,While You Were Sleeping,"Comedy, Drama, Romance",81.06
1995,Congo,"Action, Adventure, Mystery",81.02
1995,Father of the Bride Part II,"Comedy, Family, Romance",76.59
1995,Braveheart,"Biogrpahy, Drama, History",75.6
1995,Get Shorty,"Comedy, Crime, Thriller",72.08
1995,The Bridges of Madison County,"Drama, Romance",71.52
1995,Mortal Kombat,"Action, Adventure, Fantasy ",70.45
1995,Grumpier Old Men,"Comedy, Romance",69.87
1995,Nine Months,"Comedy, Romance",69.7
1995,Outbreak,"Action, Drama, Thriller",67.82
1995,Heat,"Action, Crime, Drama",67.44
1995,Waiting to Exhale,"Comedy Drama, Romance",67.05
1995,Babe,"Comedy, Drama, Family",66.6
1995,Bad Boys,"Action, Comedy, Crime",65.81
1995,The American President,"Comedy, Drama, Romance",65
1995,Species,"Action, Horror, Sci-Fi",60.07
1995,Twelve Monkeys,"Mystery, Sci-Fi, Thriller",57.14
1995,Clueless,"Comedy, Romance",56.63
1995,Sabrina,"Comedy, Drama",53.67
1995,Something to Talk About,"Comedy, Drama, Romance",50.89
1995,The Net,"Action, Crime, Drama",50.73
1995,Under Siege 2: Dark Territory,"Action, Thriller",50.02
1995,A Walk in the Clouds,"Drama, Romance",50.01
1995,The Brady Bunch Movie,Comedy,46.58
1995,Sense and Sensibility,"Drama, Romance",43.18
1995,Casino,"Crime, Drama",42.44
1995,Man of the House,"Comedy, Family",40.07
1995,Dead Man Walking,"Crime, Drama",39.39
1995,French Kiss,"Comedy,Drama, Romance",38.9
1995,Higher Learning,"Crime, Drama, Romance",38.29
1995,Mighty Morphin Power Rangers: The Movie,"Action, Adventure, Family ",37.8
1995,First Knight,"Action, Adventure ,Romance",37.6
1995,Just Cause,"Action, Crime, Drama",36.85
1995,"To Wong Foo Thanks for Everything, Julie Newmar","Comedy, Drama",36.47
1995,The Indian in the Cupboard,"Drama, Family, Fantasy",35.62
1995,A Goofy Movie,"Animation, Adventure, Comedy",35.35
1996,Independence Day,"Action, Adventure, Sci-Fi",306.17
1996,Twister,"Action, Adventure, Drama",241.72
1996,Mission: Impossible,"Action, Adventure, Thriller",180.98
1996,Jerry Maguire,"Comedy, Drama, Romance",153.95
1996,Ransom,"Action, Crime, Thriller",136.49
1996,101 Dalmatians,"Adventure, Comedy, Crime",136.19
1996,The Rock,"Action, Adventure, Thriller",134.07
1996,The Nutty Professor,"Comedy, Romance, SCi-Fi",128.81
1996,The Birdcage,Comedy,124.06
